Week_Number;Customer;Volume
1;hydroid;22680
2;hydroid;34282
3;hydroid;29929
4;hydroid;24674
5;hydroid;26226
6;hydroid;21518
7;hydroid;28886
8;hydroid;22463
9;hydroid;26222
10;hydroid;23776
11;hydroid;24535
12;hydroid;22640
13;hydroid;24392
14;hydroid;24299
15;hydroid;24965
16;hydroid;15134
17;hydroid;35395
1;iodizer;137
2;iodizer;106
3;iodizer;139
4;iodizer;119
5;iodizer;137
6;iodizer;117
7;iodizer;148
8;iodizer;70
9;iodizer;153
10;iodizer;96
11;iodizer;88
12;iodizer;118
13;iodizer;95
14;iodizer;135
15;iodizer;174
16;iodizer;81
17;iodizer;129
1;ivylike;45
2;ivylike;62
3;ivylike;47
4;ivylike;39
5;ivylike;5
6;ivylike;29
7;ivylike;63
8;ivylike;42
9;ivylike;19
10;ivylike;4
11;ivylike;10
12;ivylike;36
13;ivylike;57
14;ivylike;23
15;ivylike;3
16;ivylike;27
17;ivylike;2
1;kinesic;258
2;kinesic;274
3;kinesic;198
4;kinesic;186
5;kinesic;191
6;kinesic;216
7;kinesic;145
8;kinesic;131
9;kinesic;164
10;kinesic;195
11;kinesic;162
12;kinesic;160
13;kinesic;121
14;kinesic;169
15;kinesic;96
16;kinesic;126
17;kinesic;229
1;kowloon;49
2;kowloon;53
4;kowloon;2
5;kowloon;13
6;kowloon;13
7;kowloon;36
8;kowloon;59
9;kowloon;18
10;kowloon;35
11;kowloon;7
12;kowloon;28
13;kowloon;9
15;kowloon;56
16;kowloon;12
17;kowloon;87
1;lighter;69024
2;lighter;53570
3;lighter;52403
4;lighter;53932
5;lighter;28657
6;lighter;58616
7;lighter;28538
8;lighter;12105
9;lighter;11459
10;lighter;11214
11;lighter;10182
12;lighter;13129
13;lighter;19221
14;lighter;14743
15;lighter;15571
16;lighter;14425
17;lighter;17533
1;luganda;95
2;luganda;120
3;luganda;74
4;luganda;90
5;luganda;142
6;luganda;104
7;luganda;107
8;luganda;89
9;luganda;42
10;luganda;111
11;luganda;95
12;luganda;121
13;luganda;107
14;luganda;111
15;luganda;154
16;luganda;49
17;luganda;62
2;mabelle;16
3;mabelle;78
4;mabelle;177
5;mabelle;7
6;mabelle;19
7;mabelle;58
8;mabelle;64
9;mabelle;47
10;mabelle;43
11;mabelle;34
13;mabelle;58
14;mabelle;36
15;mabelle;5
16;mabelle;58
17;mabelle;38
1;maestro;5797
2;maestro;3326
3;maestro;3206
4;maestro;3301
5;maestro;2730
6;maestro;5546
7;maestro;4107
8;maestro;3111
9;maestro;3599
10;maestro;3844
11;maestro;3778
12;maestro;3095
13;maestro;4646
14;maestro;4247
15;maestro;3186
16;maestro;2627
17;maestro;4847
1;maginus;136
2;maginus;125
3;maginus;181
4;maginus;77
5;maginus;88
6;maginus;141
